Season,RoundNumber,RaceName,Driver,Team,NumPitStops,GridPosition_Est,AvgEarlyPace,PaceStdDev,TireDegSlope,AvgAirTemp,AvgTrackTemp,AvgHumidity,RainDetected,StartTyre_HARD,StartTyre_INTERMEDIATE,StartTyre_MEDIUM,StartTyre_SOFT
2025,16,Italian Grand Prix,HAM,Ferrari,1,8.0,85.076,2.0015783216696197,-0.46835151515151463,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,LEC,Ferrari,1,4.0,84.8454,1.278941767417283,-0.3090787878787878,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,BEA,Haas F1 Team,1,11.0,85.5637,2.2657882636194313,-0.4846727272727276,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,OCO,Haas F1 Team,1,14.0,85.7587,2.646594291621676,-0.5555575757575765,26.76111111111111,43.28819444444444,42.604166666666664,False,True,False,False,False
2025,16,Italian Grand Prix,BOR,Kick Sauber,1,7.0,85.2719,1.739600940829056,-0.33571515151515163,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,NOR,McLaren,1,2.0,84.1886,1.2169325919430947,-0.2665696969696975,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,PIA,McLaren,1,3.0,84.63050000000001,1.3870919419979193,-0.3897151515151519,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,ANT,Mercedes,1,10.0,85.5207,2.199672301351577,-0.46150909090909137,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,RUS,Mercedes,1,5.0,84.9111,1.4920605029436458,-0.35553333333333387,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,HAD,Racing Bulls,1,18.0,86.14710000000001,3.1463927652684003,-0.6580303030303031,26.76111111111111,43.28819444444444,42.604166666666664,False,True,False,False,False
2025,16,Italian Grand Prix,LAW,Racing Bulls,1,15.0,88.3182,6.5456423978094005,0.7238666666666661,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,False,True
2025,16,Italian Grand Prix,TSU,Red Bull Racing,1,9.0,85.46029999999999,2.077047372808068,-0.4418242424242425,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,VER,Red Bull Racing,1,1.0,83.8594,1.2696960441162484,-0.30713939393939454,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,16,Italian Grand Prix,ALB,Williams,1,13.0,85.7008,2.5488033706471396,-0.5378181818181815,26.76111111111111,43.28819444444444,42.604166666666664,False,True,False,False,False
2025,16,Italian Grand Prix,SAI,Williams,1,12.0,85.6353,2.419422752549783,-0.5169636363636368,26.76111111111111,43.28819444444444,42.604166666666664,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,COL,Alpine,1,14.0,109.1806,2.1299688495374745,-0.8783604651162787,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,GAS,Alpine,1,16.0,109.52759999999998,2.815988245714103,-1.2049302325581397,20.551923076923078,26.10705128205128,59.833333333333336,False,True,False,False,False
2025,17,Azerbaijan Grand Prix,ALO,Aston Martin,1,11.0,108.94479999999999,2.1916953939815595,-1.0046162790697661,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,STR,Aston Martin,1,13.0,109.3584,2.35276312024819,-1.013558139534884,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,HAM,Ferrari,1,10.0,108.20340000000002,2.1248294755109174,-0.924023255813954,20.551923076923078,26.10705128205128,59.833333333333336,False,True,False,False,False
2025,17,Azerbaijan Grand Prix,LEC,Ferrari,1,9.0,107.97920000000002,1.8293626485746364,-0.6667790697674426,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,BEA,Haas F1 Team,1,15.0,109.6626,3.0925295956546677,-1.322546511627909,20.551923076923078,26.10705128205128,59.833333333333336,False,True,False,False,False
2025,17,Azerbaijan Grand Prix,OCO,Haas F1 Team,2,18.0,109.7462,3.0044409962587046,-1.293058139534883,20.551923076923078,26.10705128205128,59.833333333333336,False,True,False,False,False
2025,17,Azerbaijan Grand Prix,BOR,Kick Sauber,1,12.0,108.8362,2.4841455673933437,-1.1060232558139533,20.551923076923078,26.10705128205128,59.833333333333336,False,True,False,False,False
2025,17,Azerbaijan Grand Prix,HUL,Kick Sauber,1,17.0,109.28040000000001,2.4438770018149443,-1.075360465116279,20.551923076923078,26.10705128205128,59.833333333333336,False,True,False,False,False
2025,17,Azerbaijan Grand Prix,NOR,McLaren,1,8.0,108.15720000000002,1.952352862573771,-0.736313953488372,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,ANT,Mercedes,1,4.0,107.5358,1.1978018200019547,-0.42659302325581266,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,RUS,Mercedes,1,5.0,107.74459999999999,1.8374411010968466,-0.637604651162791,20.551923076923078,26.10705128205128,59.833333333333336,False,True,False,False,False
2025,17,Azerbaijan Grand Prix,HAD,Racing Bulls,1,7.0,108.87359999999998,2.293151826635128,-0.9787674418604668,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,LAW,Racing Bulls,1,3.0,107.34079999999999,0.9371391038687901,-0.3381627906976735,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,TSU,Red Bull Racing,1,6.0,108.03339999999999,1.423526536457962,-0.360476744186047,20.551923076923078,26.10705128205128,59.833333333333336,False,True,False,False,False
2025,17,Azerbaijan Grand Prix,VER,Red Bull Racing,1,1.0,106.6926,0.6706953854023455,-0.29731395348837203,20.551923076923078,26.10705128205128,59.833333333333336,False,True,False,False,False
2025,17,Azerbaijan Grand Prix,ALB,Williams,2,19.0,109.6226,2.824624983958045,-1.1821976744186045,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,17,Azerbaijan Grand Prix,SAI,Williams,1,2.0,107.1748,0.8425750411684404,-0.3239186046511617,20.551923076923078,26.10705128205128,59.833333333333336,False,False,False,True,False
2025,18,Singapore Grand Prix,COL,Alpine,1,13.0,100.86866666666668,4.453337652817268,-0.9222624999999999,29.072049689440995,33.85217391304348,74.36024844720497,True,False,False,False,True
2025,18,Singapore Grand Prix,GAS,Alpine,2,19.0,101.82855555555557,5.524173402218449,-1.0498833333333324,29.072049689440995,33.85217391304348,74.36024844720497,True,False,False,True,False
2025,18,Singapore Grand Prix,ALO,Aston Martin,1,9.0,100.2188888888889,3.8517095699326935,-0.7983708333333328,29.072049689440995,33.85217391304348,74.36024844720497,True,False,False,False,True
2025,18,Singapore Grand Prix,STR,Aston Martin,1,14.0,101.01755555555555,4.862914355381737,-0.9616208333333325,29.072049689440995,33.85217391304348,74.36024844720497,True,False,False,False,True
2025,18,Singapore Grand Prix,HAM,Ferrari,2,7.0,99.669,3.552866940936571,-0.7920624999999992,29.072049689440995,33.85217391304348,74.36024844720497,True,False,False,True,False
2025,18,Singapore Grand Prix,LEC,Ferrari,1,5.0,99.35244444444444,3.292767647098374,-0.7551791666666662,29.072049689440995,33.85217391304348,74.36024844720497,True,False,False,True,False
